Number,Date,Question,Answer,Hashtag,Countries,Link,0
22,10/08/2013,Does OFAC maintain or can it create a country-by-country list of Specially Designated Nationals (SDNs)?,"OFAC has long maintained such a list. The file is available on OFAC's SDN Page under the link ""SDN List Sorted by Country."" The file is also contained within the SDALL.ZIP archive and is called ctrylst.txt. It is important to understand that many SDN individuals and entities may operate in countries other than those in which they are based. The relevant regulations prohibit transactions with and/or block the property of SDNs wherever they are located.",Information on list file formats and downloads,,,
23,,,,,,,
24,,,,,,,
25,09/10/2002,Does OFAC itself require that banks set up a certain type of compliance program?,,Starting an OFAC Compliance Program,,,
26,,,,,,,
27,1/30/2015,What do I need to do to comply? Do I have to buy expensive software?,,Starting an OFAC Compliance Program,,,
28,1/30/2015,How often do I need to scan my customer database against OFAC's sanctions lists?,,Starting an OFAC Compliance Program,,,
29,1/30/2015,How do I setup a compliance program for my bank?,,Starting an OFAC Compliance Program,,,
30,09/10/2002,How do I know if my compliance program is adequate?,,Starting an OFAC Compliance Program,,,
31,1/30/2015,What are the features and benefits that banks should be looking for when selecting an OFAC compliance software package?,,Starting an OFAC Compliance Program,,,
32,09/10/2002,How do I block an account or a funds transfer?,,Blocking and Rejecting Transactions,,,
33,09/10/2002,How much interest do I have to pay on the blocked funds?,,,,,
34,09/10/2002,Can my bank deduct service charges from the account?,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,7/28/2017,"If I reject or block a transaction, when do I have to report the action to OFAC? How do I submit the report?",,31 C.F.R. Parts §§501.603 and 501.604,,,
50,6/30/2017,Is there a requirement for annual reporting of blocked property? Is there a required format?,,,,,
51,10/08/2013,How do I apply for a license to get my money unblocked?,"With respect to blocked funds transfers, you are encouraged to file an electronic application to have blocked funds released by visiting the following link: https://licensing.ofac.treas.gov/Apply/Introduction.aspx

You may also submit an application for the release of blocked funds which is available on OFAC's website under ""Forms."" You should print this form, complete the required information, attach payment instructions, and mail it to:

Office of Foreign Assets Control
U.S. Department of the Treasury
Treasury Annex
1500 Pennsylvania Avenue, NW
Washington, DC 20220
Attn: Licensing Division

It is extremely important that the underlying transaction be described in detail and copies of supporting documentation be included in the package. ",License general,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,09/10/2002,What are the chances that my application will be approved?,"Each application is reviewed on a case-by-case basis and often requires interagency consultation. Although we cannot predict how long this review might take, following existing application guidelines will help to expedite your determination.",License general,,,
59,09/10/2002,Do I need a registration number or license to donate goods?,"Most OFAC sanctions programs provide exemptions to their prohibitions for certain donated goods, such as articles to relieve human suffering. This is not the case for all programs, however. You should refer to the legal section of OFAC's website for the regulations applicable to the specific target or target country of your donation. ",License general,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,1/30/2015,What Is This OFAC Information On My Credit Report?,"Credit bureaus and agencies in particular have adopted new measures to ensure compliance with OFAC regulations. Before issuing a credit report, they use screening software to determine if a credit applicant is on OFAC's Specially Designated Nationals (SDN) list or one of OFAC's other sanctions lists. This software matches the credit applicant's name and other information to the names on OFAC's sanctions lists. If there is a potential match, the credit bureaus may place a ""red flag"" or alert on the report. This does not necessarily mean that someone is illegally using your social security number or that you have bad credit. It is merely a reminder to the person checking your credit that he or she should verify whether you are the individual on one of OFAC's sanctions lists by comparing your information to the OFAC information. If you are not the individual on the sanctions list, the person checking your credit should disregard the OFAC alert, and there is no need to contact OFAC. However, if the person checking your credit believes you are the person on one of OFAC's sanctions lists, then he or she should call the OFAC Hotline to verify and report it. ",OFAC Information on a Credit Report,,,
71,1/30/2015,How Can I Get The OFAC Alert Off My Credit Report?,"A consumer has the right under the Fair Credit Reporting Act (FCRA), 15 U.S.C. 1681 et seq., to request the removal of incorrect information on his/her credit report. To accomplish this, consumers should contact the credit reporting agency or bureau that issued the credit report. For more information on consumers' rights under the FCRA, visit the Federal Trade Commission's website at http://www.ftc.gov/os/statutes/fcrajump.shtm or the Consumer Financial Protection Bureau at 855-411-2372.",,,,
72,,,,,,,
73,,,,,,,
74,06/16/2016,What is a license?,"A license is an authorization from OFAC to engage in a transaction that otherwise would be prohibited. There are two types of licenses: general licenses and specific licenses.

A general license authorizes a particular type of transaction for a class of persons without the need to apply for a license.

A specific license is a written document issued by OFAC to a particular person or entity, authorizing a particular transaction in response to a written license application.

Persons engaging in transactions pursuant to general or specific licenses must make sure that all conditions of the licenses are strictly observed.

OFAC's regulations may contain statements of OFAC's specific licensing policy with respect to particular types of transactions.",License general,,,
75,10/08/2013,Do I have to fill out a particular form to get a license to engage in a transaction?,"Most license applications do not have to be submitted on a particular form. However, it is essential to include in the request all necessary information as required in the application guidelines or the regulations pertaining to the particular embargo program. When applying for a license, provide a detailed description of the proposed transaction, including the names and addresses of any individuals/companies involved. The mailing address for license applications is:

Office of Foreign Assets Control
U.S. Department of the Treasury
Treasury Annex
1500 Pennsylvania Avenue, NW
Washington, DC 20220
Attn: Licensing Division

In order to apply for a specific license to release blocked funds, you are encouraged to file an electronic application to have blocked funds released by visiting the following link: https://licensing.ofac.treas.gov/Apply/Introduction.aspx

You may also submit an application for the release of blocked funds which is available on OFAC's website under ""Forms."" You should print this form, complete the required information, attach payment instructions, and mail it to the address listed above.

Depending upon the transaction, there may be specific guidance available on OFAC's website under relevant ""Guidance on Licensing policy"" on OFAC's various sanctions program web pages. ",License general,,,
76,09/10/2002,Can I appeal a denial of my license application?,"A denial by OFAC of a license application constitutes final agency action. The regulations do not provide for a formal process of appeal. However, OFAC will reconsider its determinations for good cause, for example, where the applicant can demonstrate changed circumstances or submit additional relevant information not previously made available to OFAC.",License general,,,
77,10/08/2013,How can I find out the status of my pending license application?,"OFAC will notify applicants in writing as soon as a determination has been made on their application. The length of time for determinations to be reached will vary depending on the complexity of the transactions under consideration, the scope and detail of interagency coordination, and the volume of similar applications awaiting consideration. Applicants are encouraged to wait at least two weeks before telephonically contacting the Licensing Division at (202) 622-2480 to inquire about the status of their application. Callers can use OFAC's automated license application status hotline (accessible through the 202-622-2480 number) to check on the status of their application. ",License general,,,
78,06/16/2006,What agencies other than Treasury review OFAC license applications and what are the roles of these other agencies?,"OFAC will notify applicants in writing as soon as a determination has been made on their application. The length of time for determinations to be reached will vary depending on the complexity of the transactions under consideration, the scope and detail of interagency coordination, and the volume of similar applications awaiting consideration. Applicants are encouraged to wait at least two weeks before telephonically contacting the Licensing Division at (202) 622-2480 to inquire about the status of their application. Callers can use OFAC's automated license application status hotline (accessible through the 202-622-2480 number) to check on the status of their application. ",License general,,,
79,12/19/2007,Does OFAC provide its Specially Designated Nationals (SDN) List in a format that can be easily imported into a database?,"Yes. OFAC's SDN list is available in XML, fixed-field and delimited formats that can be imported into a variety of software programs.",Information on List File Formats and Downloads,,,
80,6/14/2007,Does OFAC provide its Specially Designated Nationals (SDN) List in a spreadsheet format?,OFAC publishes the SDN data in a comma separated values format (CSV). This format is recognized by Excel and other spreadsheet programs and can be imported into spreadsheet format by simply opening the file in your default spreadsheet application.,Information on List File Formats and Downloads,,,
81,6/14/2007,What is the delimiter in OFAC's delimited files?,The delimiter varies based upon the file type. Files that end in .DEL have an @ (at) symbol as the delimiter. Files that end in .CSV have a comma delimiter. Files that end in .FF have a fixed width delimiter. Files that end in .PIP use the | (pipe) symbol as a delimiter.,Information on List File Formats and Downloads,,,
82,,,,,,,
83,04/21/2015,How are OFAC's delimited files structured?,"All of OFAC's delimited files are described in OFAC's SDN data file specification guide and non-SDN data specification guide. In addition, OFAC published the following tutorial on how to construct a basic relational database using OFAC’s delimited list files.",Information on List File Formats and Downloads,,,
84,04/13/2017,Does OFAC maintain its files on an FTP server or in locations other than on its website? Does OFAC provide its files via Secure FTP (SFTP)?,"Yes. OFAC maintains many of its sanctions list files on an FTP server.

This server can be accessed at: ftp://ofacftp.treas.gov.

The server will accept an anonymous login. OFAC's data is stored in the directories listed below.  OFAC does not currently support connections to this server via SFTP.

/fac_sdn - SDN human-readable lists, legacy zip archive (XML and delimited files), and the advanced zip archive (advanced XML file)

/fac_delim - SDN data files (advanced XML file, legacy XML file, legacy delimited files) in un archived format

/ssi_list - All Sectoral Sanctions List files

/fse_list - All Foreign Sanctions Evaders List files

/ns_plc - All Non-SDN Palestinian Legislative Council Lists files

/consolidated_list - All Consolidated Non-SDN List data files",Information on List File Formats and Downloads,,,
85,08/06/2014,"Is there a version of the Specially Designated Nationals (SDN) data file archive that works with UNIX, Linux or other command line operating systems?",Yes. The standard zip archive should work with most UNIX and Linux systems and is available on OFAC's website at https://www.home.treasury.gov/system/files/126/sdall.zip and its FTP site at ftp://ofacftp.treas.gov in the folder /fac_sdn.,,,,
86,,"
Does OFAC have an email service that will notify me when there are updates to any of its sanctions lists?","Yes. OFAC has multiple e-mail subscription services available. Please visit the following link to sign up for these services:
https://service.govdelivery.com/service/multi_subscribe.html?code=USTREAS
OFAC also maintains a Really Simple Syndication (RSS) feed. This feed is updated whenever the OFAC site is updated.",How to Receive Notifications About OFAC Updates,,,
87,08/06/2014,Your FTP site has gone offline. Who should I contact to remedy this problem?,The FTP site is run by OFAC. Please contact OFAC's support hotline at 1-800-540-6322 for technical support.,Information on List File Formats and Downloads,,,
88,01/30/2015,I am a developer looking to design an automated process that will download OFAC's Specially Designated Nationals (SDN) list and other sanctions lists without human intervention. How can I do this given that changes to the sanctions lists can be sporadic?,"OFAC cannot give specific advice on how to design an automated system for downloading its sanctions list data. Many institutions solve this problem by setting up a scheduled download of the SDN List and other sanctions lists. These firms conduct their own risk assessments and decide how often they need to download the lists in order to comply with U.S. law. Institutions should be aware that OFAC is updating its sanctions lists at an ever increasing pace. If an institution has set up a periodic download schedule, the institution should occasionally reevaluate that schedule to ensure that it remains an effective risk mitigation technique.",Information on List File Formats and Downloads,,,
89,09/10/2002,I am a database administrator at a financial institution and am responsible for keeping my company's Specially Designated Nationals (SDN) data current. Is the SDN list comprehensive or do I need to download some kind of supplement to the list every time there is an update?,"The SDN list is comprehensive. Database administrators can overwrite any old data in their systems with the latest versions of the list's data files, thus ensuring that their database is current",Information on List File Formats and Downloads,,,
90,10/08/2013,"Do you offer a Specially Designated Nationals (SDN) changes file or ""delta file"" in a data format? Do you offer delta files for OFAC's other sanctions lists?",No. OFAC records changes to the SDN and other sanctions lists in human-readable form in the recent actions section of its website. An archive of changes files found on this page. Database administrators interested in refreshing their databases with new SDN and other sanctions list data should use the comprehensive data files available on OFAC's website and completely refresh the list.,Information on List File Formats and Downloads,,,
91,08/11/2020,I am looking for the terrorist list on your web site so my company can comply with U.S. law. Where can I find this list?,"OFAC s regulations are broader than the specific laws dealing with terrorists and persons who support them. All individuals and entities that fall under U.S. jurisdiction should use OFAC s List of Specially Designated Nationals and Blocked Persons (SDN List). This list includes specially designated global terrorists and narcotics traffickers, among other designated persons, and is available on OFAC s website. In addition, OFAC maintains other sanctions lists that may have different prohibitions associated with each that apply to U.S. persons or transactions otherwise subject to U.S. jurisdiction. It is important to note that some OFAC sanctions block categories of persons even if those persons do not appear on the SDN List. For example, this is the case for any person that meets the definition of the Government of Venezuela in Executive Order 13884 of August 5, 2019 ( Blocking Property of the Government of Venezuela ). It is also important to note that OFAC s Cuba sanctions prohibit most transactions with Cuban nationals, wherever located. U.S. persons are expected to exercise due diligence in determining whether any such persons are involved in a proposed transaction.",Basic information on OFAC and Sanctions,,,
92,04/21/2015,I'm a subscriber to OFAC's e-mail notification services. For some reason I have stopped receiving the broadcast messages when OFAC updates its website. Why is this?,"Check to see if the messages are in your SPAM folder. Mostly likely, it is your SPAM filter or your network configuration that is preventing you from receiving the OFAC broadcast messages. If you believe that may be the case, please discuss the matter with your IT department or network administrator. You may need to have your IT personnel allow e-mails from the following domain to come through the SPAM filter, ""subscriptions.treas.gov;"" in some cases allowing the domain, treas.gov through the filter will also work. If you believe that you have been removed from the subscription list in error you may contact OFAC at O_F_A_C@do.treas.gov or re subscribe here.",How to Receive Notifications About OFAC Updates,,,
93,12/19/2007,I recently attempted to subscribe to one of OFAC s e-mail list services and I have not yet received my confirmation e-mail. Why is this?,"Failure to receive a confirmation e-mail is typically (though not always) the result of a configuration problem on the user s end. The user should follow these steps to ensure that he or she is using the system properly.

Be patient. For a variety of reasons e-mail sometimes take a little longer than expected to reach a user. If you do not receive a confirmation e-mail within a day of subscribing, proceed to step 2.
Confirm that you have entered the correct e-mail address and address punctuation. A surprising number of errors have been the result of users accidentally using commas instead of periods.
Check to see if you have a SPAM filter in place. SPAM filters have a variety of configurations. Some of these filters have been known to erroneously block e-mails originating from OFAC s list servers. OFAC cannot provide technical support for local configuration issues. If you believe a SPAM filter is preventing you from receiving OFAC e-mails, please discuss the matter with your IT department or network administrator. You will need to have your IT personnel allow e-mails from the following domain to come through the SPAM filter ""subscriptions.treas.gov"". Once this is done you may proceed to step 4. If you can confirm that you do not have a SPAM filter in place or any other local configuration problem, please skip step 4 and proceed to step 5.
If your network or e-mail client s configuration is preventing you from receiving your subscription confirmation e-mail, it is likely that you will not be able to receive e-mail from OFAC s list servers even if OFAC manually adds you to our listserv. These configuration issues must be resolved with your IT department or network administrator before you can proceed.
If, after you have exhausted all of the above options, you still fail to receive OFAC s broadcast notifications, please call our support hotline at 1-800-540-6322.",How to Receive Notifications About OFAC Updates,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,04/12/2021,What format options are permitted for submitting license applications pursuant to the Trade Sanctions Reform and Export Enhancement Act of 2000 (TSRA)?,"OFAC permits two format options for submitting TSRA license applications: online or hard-copy, though we highly recommend the use of OFAC’s online application portal.  Applications submitted via mail must be accompanied by a cover letter that includes some essential information:  the purpose of the application and the applicant’s full contact information.  If either the cover letter or the pertinent information is missing, the application is considered incomplete and risks delay or rejection. ","License General
TSRA",,,
98,04/12/2021,How should I present my TSRA license application?,"Applicants should clearly enumerate in a table format all pertinent information related to their proposed transactions, including: a) Full names and addresses of all parties involved in the transactions and their roles, including financial institutions and any Iranian broker (identify company principals), purchasing agent (identify company principals), end-user(s) (full contact name), or other participants involved in the purchase of the proposed export items; and b) If applicable, the commodity classification numbers that are associated with the proposed export items. ","License General
TSRA",,,
99,,,,,,,
100,03/16/2015,"If I am submitting multiple TSRA license applications at the same time, should I send them under a single cover letter?","OFAC requires applicants to submit each individual application separately; regardless of if you are completing the online application or sending in a hard copy application through the mail. If an applicant is submitting a hard copy, each application should be in a separate envelope, accompanied by a separate cover letter. Applicants should not submit multiple applications in a single envelope with a single cover letter. If you submit applications in that manner, you may encounter some delay in the processing of your applications. Therefore, in order to prevent such delay, submit one application with one cover letter per envelope. ","License General
TSRA",,,
101,06/14/2007,Should I send a sample of the proposed export product as an attachment to my TSRA license application?,"No. OFAC does not require samples of proposed export products to be sent as attachments to any application. OFAC does not need to examine samples of the actual product in making its final determination. Therefore, please do not include any samples with your application.","License General
TSRA",,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,05/08/2018,"OFAC says it has updated its Specially Designated Nationals (SDN) list, but when I download the appropriate SDN files from the OFAC website, they appear to be out-of-date. Where can I get the latest SDN information?","OFAC has rigorous quality control procedures in place to ensure that all SDN data are current and accurate when they are released (including all of its human-readable list formats [in PDF and text]). All of the SDN information is downloaded and checked by OFAC personnel using the same interface that any member of the public might employ. A number of local issues can impact a user’s ability to download current information; many of these issues are associated with caching done by a user’s browser or by the firewall/security systems that protect a specific enterprise. OFAC can only offer technical support when it comes to OFAC provided data and OFAC managed systems (like the OFAC website or OFAC FTP servers). If you continue to have difficulty downloading the latest SDN information, OFAC recommends that you contact your internal IS/IT support and request their assistance in resolving a caching issue.",Information on List File Formats and Downloads,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,01/13/2017,"Specific to Iran I hold a specific license to sell agricultural goods, medicine, or medical devices to Iran. The general license at section 560.532(a)(4) of the Iranian Transactions and Sanctions Regulations (ITSR) authorizes me to accept a letter of credit issued by an Iranian financial institution whose property and interests in property are blocked solely pursuant to the ITSR (i.e., an Iranian financial institution that is not listed on OFAC’s List of Specially Designated Nationals and Blocked Persons (SDN List)). The general license, however, also states that a U.S. financial institution may not advise, confirm, or otherwise deal in that credit. How am I supposed to know if/when a letter of credit has been issued for my sale and how do I get paid? My bank accounts are all at U.S. financial institutions.",,"TSRA
E.O.13599",Iran,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,01/18/2011,What are weak aliases (AKAs)?,,WEAK ALIASES,,,
123,01/30/2015,Where can I find weak aliases (AKAs)?,,WEAK ALIASES,,,
124,01/18/2011,Am I required to screen for weak aliases (AKAs)?,,WEAK ALIASES,,,
125,01/18/2011,Will I be penalized for processing an unauthorized transaction involving a weak alias (AKA)?,,WEAK ALIASES,,,
126,08/11/2020,I tried to ship a package and it was returned to me because of OFAC sanctions. Why?,"There may have been one or more reasons the package was rejected. For example, was it destined for Cuba and lacking a description of the contents? Was it an unlicensed commercial shipment destined for North Korea? Was it a personal gift destined for an individual in Iran with a stated value exceeding $100? These examples are legitimate reasons for shipping companies to refuse to process such packages, such as packages that do not conform with shipping company guidelines and rules, as well as OFAC and other U.S. government regulations. Not only could you be liable for attempting to send such packages, but the shipping companies also could be liable for their role in processing these. See OFAC s country program webpages for more information on the restrictions on shipments to high-risk jurisdictions, for example the Crimea region of Ukraine, Cuba, Iran, North Korea, or Syria.",Basic information on OFAC and Sanctions,,,
127,02/07/2011,"I tried to ship a package and it was ""blocked"" by the shipping company ""due to OFAC sanctions."" Why? And how can I get the package unblocked?","Shipping companies are required to ""block"" packages in which a Specially Designated National (""SDN"") or other blocked person has an interest. When a package is required to be ""blocked,"" the shipper must retain the package rather than reject and return it to the sender. Blocking is not required if a general or specific license from OFAC authorizes the shipper to reject or process the package, or if the transaction is otherwise exempted from the prohibitions based on the type or content of the package. To request a license for the package s release, apply online or send a letter with a detailed description of the package s contents and an explanation of the parties involved in the transaction, along with a copy of the package s air waybill or Customs Declaration and Dispatch form, to:
U.S. Department of the Treasury
Office of Foreign Assets Control
Licensing Division
1500 Pennsylvania Avenue, NW
Washington, DC 20220

",Basic information on OFAC and Sanctions,,,
128,,,,,,,
129,08/04/2011,Can I make a private donation to a charity that is delivering humanitarian assistance in Somalia?,Yes. Please visit USAID’s website for more information about how you can help.,,Somalia,,
130,08/04/2011,Can my organization provide humanitarian assistance in Somalia?,"Yes, non-governmental organizations may provide humanitarian assistance in Somalia without the need for a license from OFAC. Organizations considering entering Somali territory to conduct assistance operations should be aware that areas of Somalia are extremely unstable and dangerous, and should review the State Department’s Travel Warning for Somalia. Among the most powerful armed groups operating in Somalia is al-Shabaab, a Specially Designated Global Terrorist and a Foreign Terrorist Organization under U.S. law. U.S. persons should exercise caution not to provide funds or material support to this organization or other designated groups.",,Somalia,,
131,08/04/2011,"What if, in delivering humanitarian assistance, my organization unintentionally provides food or medicine to members of al-Shabaab?","Due to the dangerous and highly unstable environment combined with urgent humanitarian needs in south and central Somalia, some food and/or medicine delivered in these areas may end up in the hands of al-Shabaab members. Such incidental benefits are not a focus for OFAC sanctions enforcement.",,Somalia,,
132,08/04/2011,"What if, in delivering humanitarian assistance, my organization unintentionally provides cash to members of al-Shabaab?","U.S. persons should be extremely cautious in making cash payments in areas under the control of al-Shabaab. Al-Shabaab has, in the past, demanded “taxes” and “access” payments from assistance organizations. To the extent that such a payment is made unintentionally by an organization in the conduct of its assistance activities, where the organization did not have reason to know that it was dealing with al-Shabaab, that activity would not be a focus for OFAC sanctions enforcement. To the extent that an organization is facing demands for large or repeated payments in al-Shabaab-controlled areas, it should consult with OFAC prior to proceeding with its operations.",,Somalia,,
133,08/04/2011,I have heard that certain U.S. humanitarian assistance organizations are exempted from the prohibition on making certain cash payments to al-Shabaab. Is that correct?,"Under the current extreme circumstances on the ground, the Department of State and USAID and their contractors and grantees are authorized to engage in certain transactions in the conduct of their official assistance activities in Somalia, under rigorous controls aimed at preventing diversion of assistance or cash payments to designated parties.

Humanitarian assistance organizations that wish to apply for a contract or grant with the State Department or USAID should visit USAID’s website.",,Somalia,,
134,08/04/2011,I have family members or friends in Somalia and would like to send remittances to them. Can I do that without violating OFAC sanctions?,"Yes, you can send remittances to Somalia, as long as the transactions do not involve parties listed on OFAC’s Specially Designated Nationals and Blocked Persons List.

For additional information on OFAC’s Somalia-related sanctions programs, visit here. To request additional information from OFAC, please call the OFAC hotline at (800) 540-6322 or (202) 622-2490.",,Somalia,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,2/6/2012,"If all property and interests in property of the Government of Iran, including the Central Bank of Iran, and of all Iranian financial institutions are blocked, can I conduct transactions involving the Government of Iran that have been previously authorized by OFAC?","Generally yes. Under new General License A, almost all transactions that are authorized under existing general licenses issued pursuant to the Iranian Transactions Regulations (ITR) or under existing OFAC specific licenses will continue to be authorized under the authority of E.O. 13599. However, transactions previously authorized under one existing ITR general license are not authorized pursuant to E.O. 13599. Specifically, the closing of accounts of the Government of Iran or an Iranian financial institution and the lump sum transfer of the balances to an account outside of the United States, which is authorized by sections 560.517(a)(3) & (b)(2) of the ITR, is not authorized by General License A, and, therefore, those transactions are prohibited by E.O. 13599 and the accounts must be blocked. In addition, General License A does not authorize any payments from blocked funds or debits to blocked accounts, with a limited exception for payments from funds or debits to accounts blocked under the Iranian Assets Control Regulations (the hostage crisis blocking program that began in 1979) that are authorized by specific licenses issued by OFAC.

New General License B authorizes U.S. depository institutions and U.S. registered brokers or dealers in securities to process noncommercial, personal remittances, to or from Iran, or for or on behalf of individuals ordinarily resident in Iran who are not included in the term “Government of Iran”, provided that such funds transactions are not made by, to, or through a financial institution blocked pursuant to the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (the “WMDPSR”), or the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594 (the “GTSR”), or a person whose property and interests in property are blocked pursuant to any other part of 31 C.F.R. chapter V, or any Executive order, except an Iranian financial institution whose property and interests in property are blocked solely pursuant to E.O. 13599.

Transactions not previously authorized by OFAC that involve property or interests in property of the Government of Iran, including the Central Bank of Iran, or of Iranian financial institutions must be blocked.","ITR
E.O. 13599
Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544",,,
162,,,,,,,
163,,,,,,,
164,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
172,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
176,,,,,,,
177,,,,,,,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,,,,,,,
182,,,,,,,
183,,,,,,,
184,,,,,,,
185,,,,,,,
186,,,,,,,
187,,,,,,,
188,,,,,,,
189,,,,,,,
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,,,,,,,
200,,,,,,,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,,,,,,,
206,,,,,,,
207,,,,,,,
208,,,,,,,
209,,,,,,,
210,,,,,,,
211,,,,,,,
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,,,,,,,
216,,,,,,,
217,,,,,,,
218,,,,,,,
219,,,,,,,
220,,,,,,,
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,,,,,,,
228,,,,,,,
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,,,,,,,
242,,,,,,,
243,,,,,,,
244,,,,,,,
245,,,,,,,
246,,,,,,,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,,,,,,,
251,,,,,,,
252,,,,,,,
253,,,,,,,
254,,,,,,,
255,,,,,,,
256,,,,,,,
257,,,,,,,
258,,,,,,,
259,,,,,,,
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,,,,,,,
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,,,,,,,
272,,,,,,,
273,,,,,,,
274,,,,,,,
275,,,,,,,
276,,,,,,,
277,,,,,,,
278,,,,,,,
279,,,,,,,
280,,,,,,,
281,,,,,,,
282,,,,,,,
283,,,,,,,
284,,,,,,,
285,,,,,,,
286,,,,,,,
287,,,,,,,
288,,,,,,,
